D_CRIA,D_RECRIA,D_ENGORDA,D_CRIA_RECRIA,D_CRIA_ENGORDA,D_RECRIA_ENGORDA,D_CRIA_RECRIA_ENGORDA,PVACAS2ANOS,TX_LOT_UA,RACAO,ADUBPASTAGEM,RECEBEORIENT,PCONFINADOS,PVACASINSEM,P_LAV,P_PAST,P_SILV,PVTP_BOV,UA_BOV
0.3,0.072727,0.095455,0.327273,0.018182,0.031818,0.154545,0.295501,0.18207,0.186364,0.013636,0.090909,0.004395,0.014871,0.007466,0.978692,0.000604,0.802266,46.377
0.317647,0.047059,0.035294,0.541176,0,0.047059,0.011765,0.362637,0.463097,0.070588,0.070588,0.223529,0,0,0.247635,0.751774,0,0.101047,8.838
0.244541,0.030568,0.034934,0.353712,0.008734,0.034934,0.292576,0.405118,0.617236,0.126638,0.10917,0.253275,0.004114,0.067697,0.039239,0.886906,0.00014,0.750955,71.909
0.062857,0.011429,0.011429,0.411429,0,0.022857,0.48,0.380833,0.674259,0.045714,0.034286,0.04,0,0,0.017451,0.976422,0,0.849789,23.663
0.252525,0.025253,0.080808,0.343434,0.010101,0.020202,0.267677,0.380505,0.438724,0.171717,0.151515,0.469697,0.001711,0.015228,0.009373,0.941465,0.002556,0.767021,84.489
0.171875,0.125,0.109375,0.4375,0.046875,0.03125,0.078125,0.270917,0.613863,0.234375,0.015625,0.328125,0,0,0.034541,0.958119,0.001144,0.642322,7.466
0.57971,0.065217,0.032609,0.17029,0.028986,0.01087,0.112319,0.420589,0.470939,0.068841,0.014493,0.043478,0.004071,0.001683,0.016476,0.936558,0.000107,0.721027,41.206
0.216216,0.054054,0.054054,0.351351,0.027027,0,0.297297,0.352377,0.455392,0.297297,0.297297,0.351351,0.016344,0.012766,0.018205,0.978821,0,0.502742,4.424
0.342412,0.019455,0.054475,0.116732,0.015564,0.015564,0.435798,0.330558,0.891091,0.105058,0.089494,0.105058,0.005896,0.09528,0.157191,0.796723,0.000129,0.370923,46.472
0.230769,0,0.5,0.153846,0,0,0.115385,0.33471,0.608147,0.115385,0,0.269231,0.004588,0.020562,0.039868,0.946555,0,0.886894,2.873
0.361111,0.069444,0.041667,0.152778,0.111111,0.083333,0.180556,0.361667,0.963405,0.041667,0.013889,0.152778,0,0.072158,0.01726,0.96633,0,0.962404,18.535
0.228571,0.042857,0.057143,0.6,0,0.028571,0.042857,0.440005,0.892874,0.085714,0.142857,0.485714,0.006976,0.001441,0.021709,0.874552,0,0.815183,10.186
0.744681,0,0.06383,0,0.021277,0.06383,0.106383,0.35006,0.743901,0.042553,0,0.042553,0,0,0.001042,0.933727,0,0.904801,4.84
0,0,0.333333,0.5,0,0,0.166667,0.226337,0.248399,0.333333,0.166667,0,0,0,0.000776,0.999224,0,0.678873,640
0.272727,0.30303,0.060606,0.272727,0.030303,0,0.060606,0.40737,0.597688,0.060606,0.030303,0.181818,0,0.378501,0.035811,0.837826,0,0.397284,9.069
0.094937,0.044304,0.088608,0.088608,0.012658,0.037975,0.632911,0.346589,0.481918,0.126582,0.056962,0.202532,0,0.000971,0.001849,0.751942,0,0.570279,21.165
0.2,0,0.2,0.2,0.1,0,0.3,0.30811,1.026069,0,0,0.4,0,0,0.027607,0.916716,0,0.217278,1.955
0.582734,0.064748,0.057554,0.115108,0.007194,0.035971,0.136691,0.344553,0.975692,0.079137,0.079137,0.338129,0.013889,0.09326,0.002358,0.948607,0.000655,0.98425,51.295
0.181818,0.056818,0.045455,0.079545,0,0.011364,0.625,0.350548,0.462026,0.375,0.011364,0.363636,0.005598,0,0.001747,0.874401,0.04694,0.858357,14.329
0.104839,0.032258,0.048387,0.064516,0.008065,0.024194,0.717742,0.412629,0.953084,0.008065,0.048387,0.620968,0.016006,0.014163,0.015961,0.899293,0,0.921875,49.954
0.134831,0.033708,0.022472,0.314607,0,0.022472,0.47191,0.403144,0.467718,0.101124,0.101124,0.539326,0.016923,0.123321,0.013535,0.939025,0,0.762945,18.338
0.353659,0.219512,0.097561,0.04878,0.170732,0.02439,0.085366,0.439004,0.770366,0.085366,0.036585,0.195122,0.000138,0,0.036809,0.937165,0,0.585382,9.55
0.347826,0.086957,0.021739,0.282609,0.065217,0.043478,0.152174,0.457406,0.667847,0.043478,0.021739,0.130435,0,0,0.025642,0.972185,0,0.778539,4.756
0.2,0.066667,0.05,0.316667,0.033333,0.05,0.283333,0.298832,0.691902,0.1,0.016667,0.233333,0.006884,0,0.034502,0.958451,0.000459,0.770301,15.063
0,0.2,0.6,0.2,0,0,0,0.450467,0.60502,0,0,0,0,0,0.111101,0.888543,0,0.685372,363
0.333333,0.133333,0.3,0,0.066667,0.033333,0.133333,0.362605,2.158807,0,0.066667,0.533333,0.002397,0.068312,0.028393,0.729705,0,0.942765,8.609
0.179487,0.076923,0,0.128205,0,0.076923,0.538462,0.515284,0.444667,0.282051,0.230769,0.128205,0.003461,0.022386,0.026611,0.973246,0,0.880134,6.085
0.113821,0.308943,0.04065,0.463415,0,0.00813,0.065041,0.410012,0.481313,0.235772,0.113821,0.658537,0,0.020726,0.016923,0.968393,0.003513,0.709109,20.551
0.490909,0.045455,0.045455,0.236364,0.027273,0.045455,0.109091,0.46425,0.526105,0.236364,0.190909,0.281818,0.00576,0.066998,0.108488,0.884765,0.001259,0.33355,17.896
0.243243,0.135135,0.216216,0.081081,0,0.054054,0.27027,0.333034,0.983083,0.081081,0.027027,0.432432,0,0,0.044827,0.940379,0,0.915059,7.962
0.217391,0.043478,0.054348,0.532609,0.021739,0.01087,0.119565,0.403172,0.60672,0.130435,0.130435,0.413043,0.00399,0.032218,0.009638,0.981439,0.001344,0.916704,32.176
0.25,0.078125,0.058594,0.285156,0.019531,0.042969,0.265625,0.291312,0.780455,0.34375,0.039063,0.378906,0.014528,0.010426,0.011496,0.924453,0.005178,0.872029,37.902
0.384615,0.076923,0.038462,0.307692,0.192308,0,0,0.353768,0.531997,0.346154,0,0.269231,0,0,0.045049,0.561045,0.002176,0.975031,6.638
0.320513,0.141026,0.083333,0.211538,0.019231,0.070513,0.153846,0.377641,0.324279,0.141026,0.108974,0.384615,0.000786,0.031884,0.03877,0.891597,0,0.780282,56.325
0.415385,0.153846,0.184615,0.138462,0,0,0.107692,0.425544,1.264673,0.369231,0.2,0.538462,0.000642,0.034333,0.178654,0.674234,0.010576,0.342715,8.506
0.340909,0.113636,0.090909,0.386364,0,0,0.068182,0.456525,0.565647,0.113636,0.113636,0.386364,0,0,0.066295,0.916424,0,0.353612,4.608
0.204082,0.163265,0.204082,0,0,0.020408,0.408163,0.330803,2.120613,0,0.020408,0.122449,0,0,0.01771,0.945347,0,0.54506,8.708
0.454545,0.045455,0,0.272727,0.045455,0,0.181818,0.404762,0.314889,0.045455,0.090909,0.136364,0,0.022704,0.217738,0.752024,0,0.045542,3.156
0.92,0,0.02,0.02,0,0,0.04,0.467374,0.512399,0,0,0,0,0,0.000134,0.999866,0,0.45472,5.552
0.08,0.053333,0.066667,0.32,0.08,0.146667,0.253333,0.16471,0.457175,0.16,0.013333,0.253333,0.00097,0.088339,0.016149,0.974017,0.000069,0.690136,12.872
0.142857,0,0.428571,0.142857,0,0,0.285714,0.27346,0.919528,0.285714,0,0,0,0,0.574521,0.38801,0,0.871992,857
0.333333,0,0.333333,0.095238,0.142857,0.047619,0.047619,0.283037,0.580222,0.285714,0.047619,0.380952,0,0.418118,0.09484,0.656184,0,0.846763,3.352
0.076923,0.076923,0.461538,0,0.307692,0,0.076923,0.524814,0.549403,0,0,0.076923,0,0,0.016291,0.808747,0,0.817053,4.782
0.215517,0.12931,0.043103,0.258621,0,0.025862,0.327586,0.342577,0.279121,0.12069,0.008621,0.068966,0,0,0.05788,0.79722,0.000419,0.269261,10.618
0.285965,0.052632,0.080702,0.173684,0.105263,0.036842,0.264912,0.334277,1.064366,0.061404,0,0.126316,0.001011,0.013692,0.019778,0.924921,0.000932,0.708485,71.034
0.8,0,0.1,0,0,0,0.1,0.299751,0.528169,0.5,0.1,0.2,0,0,0.229052,0.311745,0.000549,0.149286,450
0.272727,0,0.227273,0,0.181818,0,0.318182,0.280275,0.526225,0.318182,0.090909,0.454545,0.030994,0,0.274145,0.550047,0,0.310389,2.757
0.154362,0.073826,0.154362,0.073826,0.067114,0.060403,0.416107,0.262076,0.692285,0.080537,0.020134,0.221477,0.000637,0.106644,0.023897,0.875036,0.001953,0.859737,37.219
0.208861,0.151899,0.151899,0.189873,0.006329,0.025316,0.265823,0.315932,0.430182,0.265823,0.14557,0.21519,0.044491,0.043519,0.197207,0.709384,0.002579,0.235773,23.664
0.263158,0.078947,0.184211,0.131579,0,0.078947,0.263158,0.28373,0.633649,0.263158,0,0.210526,0.005143,0,0.265487,0.57666,0,0.671248,3.723
0.372014,0.122867,0.146758,0.068259,0.020478,0.03413,0.235495,0.300239,0.816709,0.068259,0.010239,0.05802,0,0.004588,0.122439,0.758329,0.006038,0.595166,25.643
0.666667,0,0,0,0.333333,0,0,0.278689,1.841489,0.333333,0,0.666667,0,0,0.015486,0.608833,0,0.938957,181
0.376812,0.086957,0.130435,0.188406,0.014493,0,0.202899,0.326725,0.33254,0.217391,0.086957,0.115942,0.01736,0.00328,0.027006,0.761297,0,0.479314,5.65
0,0,0.1,0.1,0.5,0.1,0.2,0.269429,0.317949,0.2,0,0.1,0,0,0.000467,0.947015,0,0.552812,2.58
0.375,0.208333,0.166667,0.208333,0.041667,0,0,0.334556,0.830263,0.25,0.041667,0.416667,0.054197,0,0.196938,0.658025,0,0.664292,1.566
0.142857,0.071429,0.357143,0.071429,0,0,0.357143,0.300065,1.237716,0.142857,0,0,0.025924,0,0.08993,0.600598,0,0.662148,932
0.222222,0.061728,0.135802,0.024691,0.148148,0.012346,0.395062,0.409927,0.760166,0.024691,0,0.08642,0.001368,0.179744,0.048681,0.795238,0.000433,0.71519,13.977
0.362205,0.141732,0.19685,0.062992,0.015748,0.023622,0.19685,0.364134,0.900428,0.023622,0.015748,0.204724,0.000766,0,0.008162,0.904802,0.000969,0.926933,20.341
